,net1 - training loss,net1 - training accuracy,net1 - testing accuracy,net2 - training loss,net2 - training accuracy,net2 - testing accuracy,net3 - training loss,net3 - training accuracy,net3 - testing accuracy,net4 - training loss,net4 - training accuracy,net4 - testing accuracy,net5 - training loss,net5 - training accuracy,net5 - testing accuracy,net6 - training loss,net6 - training accuracy,net6 - testing accuracy,net7 - training loss,net7 - training accuracy,net7 - testing accuracy,net8 - training loss,net8 - training accuracy,net8 - testing accuracy,net9 - training loss,net9 - training accuracy,net9 - testing accuracy,net10 - training loss,net10 - training accuracy,net10 - testing accuracy,net11 - training loss,net11 - training accuracy,net11 - testing accuracy,net12 - training loss,net12 - training accuracy,net12 - testing accuracy,net13 - training loss,net13 - training accuracy,net13 - testing accuracy,net14 - training loss,net14 - training accuracy,net14 - testing accuracy,net15 - training loss,net15 - training accuracy,net15 - testing accuracy
10,0.000132281,99.65833,99.02,5.57E-05,99.916664,99.26,2.52E-05,99.985,99.31,1.15E-05,99.99834,99.38,5.98E-06,99.99834,99.42,0.000183801,99.42833,99.04,0.00010764,99.69833,99.19,4.98E-05,99.916664,99.37,2.27E-05,99.99334,99.27,1.07E-05,99.99834,99.33,0.000173821,99.441666,99.14,9.52E-05,99.68667,99.41,4.27E-05,99.916664,99.32,1.84E-05,99.988335,99.5,6.78E-06,99.99834,99.41
11,0.000117028,99.71833,99.11,4.82E-05,99.935,99.28,2.19E-05,99.985,99.33,1.02E-05,99.99834,99.37,5.49E-06,100,99.46,0.000167607,99.486664,98.97,9.56E-05,99.76,99.13,4.18E-05,99.94666,99.36,1.96E-05,99.988335,99.27,9.69E-06,99.99834,99.36,0.000160604,99.503334,99.13,8.19E-05,99.77167,99.32,3.50E-05,99.96,99.49,1.46E-05,99.99334,99.49,5.89E-06,99.99834,99.43
12,0.00010465,99.75833,99.04,4.36E-05,99.945,99.26,1.89E-05,99.995,99.31,9.38E-06,99.99834,99.4,5.23E-06,100,99.47,0.000153799,99.545,99.02,8.54E-05,99.778336,99.19,3.67E-05,99.97,99.37,1.71E-05,99.996666,99.31,8.69E-06,99.99834,99.36,0.000148238,99.528336,99.12,7.50E-05,99.805,99.43,2.86E-05,99.97667,99.42,1.25E-05,99.995,99.45,5.12E-06,99.99834,99.43
13,9.49E-05,99.795,99,3.74E-05,99.96667,99.29,1.70E-05,99.99834,99.28,8.48E-06,99.99834,99.4,5.00E-06,100,99.47,0.000141675,99.58833,99.1,7.69E-05,99.81,99.21,3.17E-05,99.97167,99.37,1.53E-05,99.99834,99.29,7.85E-06,99.99834,99.37,0.000137912,99.59334,99.07,6.83E-05,99.808334,99.39,2.55E-05,99.973335,99.37,1.08E-05,99.99834,99.49,4.65E-06,99.99834,99.41
14,8.59E-05,99.83167,99.12,3.36E-05,99.97833,99.3,1.54E-05,99.99834,99.3,7.86E-06,99.99834,99.4,4.68E-06,100,99.44,0.000129157,99.64833,99.06,6.95E-05,99.846664,99.17,2.78E-05,99.98334,99.35,1.40E-05,99.99834,99.32,7.38E-06,100,99.34,0.000129277,99.62,99.14,6.08E-05,99.86,99.39,2.19E-05,99.985,99.44,9.73E-06,99.99834,99.5,4.36E-06,100,99.44
15,7.71E-05,99.86167,99.08,3.03E-05,99.985,99.31,1.41E-05,99.99834,99.27,7.39E-06,100,99.39,4.47E-06,100,99.43,0.000119841,99.68,99.09,6.19E-05,99.878334,99.17,2.54E-05,99.98334,99.39,1.26E-05,99.99834,99.32,6.92E-06,100,99.36,0.000118204,99.68833,99.16,5.44E-05,99.88167,99.28,1.91E-05,99.986664,99.44,8.76E-06,99.99834,99.48,3.95E-06,100,99.47
16,7.07E-05,99.89333,99.06,2.76E-05,99.99,99.33,1.31E-05,99.99834,99.29,6.89E-06,100,99.43,4.36E-06,100,99.45,0.000110025,99.725,99.09,5.70E-05,99.9,99.21,2.36E-05,99.98167,99.4,1.17E-05,99.99834,99.32,6.55E-06,100,99.37,0.000109397,99.71334,99.15,4.94E-05,99.89167,99.39,1.71E-05,99.99167,99.45,8.41E-06,99.99834,99.46,3.81E-06,100,99.43
17,6.56E-05,99.9,99.13,2.57E-05,99.99,99.28,1.22E-05,99.99834,99.29,6.63E-06,100,99.42,4.19E-06,100,99.44,0.000102281,99.793335,99.07,5.17E-05,99.91,99.24,2.15E-05,99.99334,99.41,1.08E-05,99.99834,99.3,6.23E-06,100,99.38,0.000104773,99.735,99.17,4.29E-05,99.93,99.39,1.47E-05,99.996666,99.43,7.40E-06,99.99834,99.49,3.68E-06,100,99.44
18,5.93E-05,99.933334,99.08,2.36E-05,99.99334,99.26,1.14E-05,99.99834,99.3,6.42E-06,100,99.43,4.14E-06,100,99.43,9.64E-05,99.78334,99.04,4.72E-05,99.93667,99.16,1.99E-05,99.995,99.36,1.02E-05,99.99834,99.31,6.07E-06,100,99.39,9.53E-05,99.75,99.08,4.01E-05,99.93667,99.44,1.39E-05,99.996666,99.45,6.96E-06,99.99834,99.5,3.52E-06,100,99.43
19,5.53E-05,99.945,99.09,2.21E-05,99.99167,99.32,1.11E-05,99.99834,99.26,6.21E-06,100,99.4,3.98E-06,100,99.46,8.97E-05,99.816666,99.08,4.37E-05,99.95167,99.22,1.82E-05,99.99834,99.43,9.64E-06,99.99834,99.31,5.79E-06,100,99.38,9.17E-05,99.76666,99.17,3.62E-05,99.96334,99.46,1.31E-05,99.99834,99.43,6.37E-06,100,99.5,3.40E-06,100,99.42
20,5.05E-05,99.96,99.08,2.13E-05,99.99,99.32,1.04E-05,99.99834,99.36,5.94E-06,100,99.41,3.92E-06,100,99.42,8.47E-05,99.835,99.07,3.95E-05,99.96167,99.19,1.76E-05,99.996666,99.41,9.14E-06,100,99.32,5.62E-06,100,99.38,8.39E-05,99.805,99.11,3.30E-05,99.965,99.43,1.19E-05,99.99834,99.46,6.24E-06,100,99.44,3.30E-06,100,99.42
21,4.77E-05,99.956665,99.11,1.99E-05,99.995,99.36,9.86E-06,99.99834,99.3,5.76E-06,100,99.4,3.88E-06,100,99.45,7.97E-05,99.840004,99.11,3.68E-05,99.97,99.19,1.66E-05,99.99834,99.39,8.85E-06,100,99.32,5.50E-06,100,99.4,7.90E-05,99.833336,99.23,3.23E-05,99.96334,99.42,1.13E-05,99.99834,99.46,5.88E-06,100,99.46,3.25E-06,100,99.44
22,4.48E-05,99.96334,99.07,1.90E-05,99.996666,99.36,9.57E-06,100,99.31,5.61E-06,100,99.42,3.83E-06,100,99.44,7.32E-05,99.863335,99.09,3.48E-05,99.973335,99.24,1.56E-05,99.99834,99.42,8.47E-06,100,99.37,5.42E-06,100,99.37,7.53E-05,99.84167,99.21,2.86E-05,99.97167,99.35,1.10E-05,99.99834,99.46,5.78E-06,100,99.47,3.25E-06,100,99.42
23,4.25E-05,99.96667,99.08,1.82E-05,99.995,99.31,9.23E-06,100,99.32,5.60E-06,100,99.44,3.70E-06,100,99.45,7.10E-05,99.88334,99.07,3.28E-05,99.98,99.22,1.51E-05,99.99834,99.4,8.18E-06,100,99.28,5.23E-06,100,99.37,7.01E-05,99.86667,99.16,2.62E-05,99.986664,99.38,1.03E-05,99.99834,99.47,5.65E-06,100,99.47,3.15E-06,100,99.43
